id,student_id,disciplinary_group,native,cell,split
3150e,3150,AH,False,AH_non-native,train
3057b,3057,AH,False,AH_non-native,train
3012c,3012,AH,False,AH_non-native,test
0055e,55,AH,False,AH_non-native,val
6124b,6124,AH,False,AH_non-native,val
0055d,55,AH,False,AH_non-native,val
3012b,3012,AH,False,AH_non-native,test
6058b,6058,AH,False,AH_non-native,train
0057b,57,AH,False,AH_non-native,train
6024b,6024,AH,False,AH_non-native,train
0003f,3,AH,False,AH_non-native,test
3150d,3150,AH,False,AH_non-native,train
0042a,42,AH,False,AH_non-native,train
6076g,6076,AH,False,AH_non-native,val
6203e,6203,AH,False,AH_non-native,train
3071a,3071,AH,False,AH_non-native,train
6006a,6006,AH,False,AH_non-native,train
6028b,6028,AH,False,AH_non-native,test
0057a,57,AH,False,AH_non-native,train
3125h,3125,AH,False,AH_non-native,train
6076b,6076,AH,False,AH_non-native,val
6187b,6187,AH,False,AH_non-native,val
3128b,3128,AH,False,AH_non-native,train
6076d,6076,AH,False,AH_non-native,val
3155b,3155,AH,False,AH_non-native,train
6180f,6180,AH,False,AH_non-native,train
0042c,42,AH,False,AH_non-native,train
6124e,6124,AH,False,AH_non-native,val
3004a,3004,AH,False,AH_non-native,val
0171a,171,LS,True,LS_native,train
0033d,33,LS,True,LS_native,train
0190c,190,LS,True,LS_native,test
6087f,6087,LS,True,LS_native,val
3079a,3079,LS,True,LS_native,val
6198d,6198,LS,True,LS_native,train
6085j,6085,LS,True,LS_native,train
0199c,199,LS,True,LS_native,train
0238e,238,LS,True,LS_native,test
3120a,3120,LS,True,LS_native,test
0203h,203,LS,True,LS_native,train
0240b,240,LS,True,LS_native,train
6035b,6035,LS,True,LS_native,train
0260g,260,LS,True,LS_native,val
0192a,192,LS,True,LS_native,train
6145d,6145,LS,True,LS_native,val
3034d,3034,LS,True,LS_native,train
0199b,199,LS,True,LS_native,train
0082j,82,LS,True,LS_native,train
3119a,3119,LS,True,LS_native,train
6112g,6112,LS,True,LS_native,train
6116b,6116,LS,True,LS_native,val
6036b,6036,LS,True,LS_native,train
6198a,6198,LS,True,LS_native,train
0141c,141,LS,True,LS_native,train
6198c,6198,LS,True,LS_native,train
0020g,20,LS,True,LS_native,train
6011j,6011,LS,True,LS_native,train
6176c,6176,LS,True,LS_native,train
0246i,246,LS,True,LS_native,val
0260f,260,LS,True,LS_native,val
0059b,59,LS,True,LS_native,train
6005d,6005,LS,True,LS_native,train
0035b,35,LS,True,LS_native,train
3130b,3130,LS,True,LS_native,test
6007c,6007,LS,True,LS_native,train
0043c,43,LS,True,LS_native,test
0065d,65,LS,True,LS_native,train
6158a,6158,LS,True,LS_native,train
3130a,3130,LS,True,LS_native,test
0384a,384,LS,True,LS_native,train
6004f,6004,LS,True,LS_native,train
6012f,6012,LS,True,LS_native,val
6084c,6084,LS,True,LS_native,test
6027c,6027,LS,True,LS_native,train
3032g,3032,LS,True,LS_native,test
0141f,141,LS,True,LS_native,train
3092e,3092,LS,True,LS_native,train
0190b,190,LS,True,LS_native,test
3119d,3119,LS,True,LS_native,train
6077e,6077,LS,True,LS_native,train
3069d,3069,LS,True,LS_native,train
0031c,31,LS,True,LS_native,train
0238a,238,LS,True,LS_native,test
0014b,14,LS,True,LS_native,train
6147b,6147,LS,True,LS_native,train
0033e,33,LS,True,LS_native,train
0046a,46,LS,True,LS_native,train
6035d,6035,LS,True,LS_native,train
0032c,32,LS,True,LS_native,train
6184g,6184,LS,True,LS_native,train
6002c,6002,LS,True,LS_native,val
0190d,190,LS,True,LS_native,test
0017b,17,LS,True,LS_native,train
3124a,3124,LS,True,LS_native,val
0006c,6,LS,True,LS_native,train
6181e,6181,LS,True,LS_native,val
0262f,262,LS,True,LS_native,train
3034c,3034,LS,True,LS_native,train
0192c,192,LS,True,LS_native,train
0141h,141,LS,True,LS_native,train
3141d,3141,LS,True,LS_native,train
6023g,6023,LS,True,LS_native,test
6153b,6153,LS,True,LS_native,val
6147c,6147,LS,True,LS_native,train
6119e,6119,LS,True,LS_native,train
0194b,194,LS,True,LS_native,val
3064h,3064,LS,True,LS_native,train
0035a,35,LS,True,LS_native,train
3034e,3034,LS,True,LS_native,train
0100b,100,LS,False,LS_non-native,train
0277a,277,LS,False,LS_non-native,train
0041a,41,LS,False,LS_non-native,train
6017e,6017,LS,False,LS_non-native,train
6150a,6150,LS,False,LS_non-native,val
6016j,6016,LS,False,LS_non-native,train
6111a,6111,LS,False,LS_non-native,train
0162a,162,LS,False,LS_non-native,test
0162e,162,LS,False,LS_non-native,test
6082a,6082,LS,False,LS_non-native,train
6001a,6001,LS,False,LS_non-native,train
6167c,6167,LS,False,LS_non-native,val
6080a,6080,LS,False,LS_non-native,train
0057e,57,LS,False,LS_non-native,train
6081k,6081,LS,False,LS_non-native,train
6052c,6052,LS,False,LS_non-native,test
6025e,6025,LS,False,LS_non-native,train
6019d,6019,LS,False,LS_non-native,train
6193g,6193,LS,False,LS_non-native,train
6008m,6008,LS,False,LS_non-native,test
6111b,6111,LS,False,LS_non-native,train
3140a,3140,LS,False,LS_non-native,train
6193c,6193,LS,False,LS_non-native,train
6086l,6086,LS,False,LS_non-native,train
6016a,6016,LS,False,LS_non-native,train
0057c,57,LS,False,LS_non-native,train
6166b,6166,LS,False,LS_non-native,test
0434a,434,LS,False,LS_non-native,val
6122f,6122,LS,False,LS_non-native,train
6052d,6052,LS,False,LS_non-native,test
0068a,68,LS,False,LS_non-native,test
6025b,6025,LS,False,LS_non-native,train
0100a,100,LS,False,LS_non-native,train
6016e,6016,LS,False,LS_non-native,train
6019a,6019,LS,False,LS_non-native,train
6168d,6168,LS,False,LS_non-native,train
6215a,6215,LS,False,LS_non-native,train
6001c,6001,LS,False,LS_non-native,train
6001d,6001,LS,False,LS_non-native,train
6081c,6081,LS,False,LS_non-native,train
6193e,6193,LS,False,LS_non-native,train
0062c,62,LS,False,LS_non-native,val
6086i,6086,LS,False,LS_non-native,train
6031d,6031,LS,False,LS_non-native,val
0103c,103,LS,False,LS_non-native,train
6167a,6167,LS,False,LS_non-native,val
6052e,6052,LS,False,LS_non-native,test
6150c,6150,LS,False,LS_non-native,val
0173b,173,LS,False,LS_non-native,train
0036b,36,LS,False,LS_non-native,test
6150d,6150,LS,False,LS_non-native,val
6008b,6008,LS,False,LS_non-native,test
6025d,6025,LS,False,LS_non-native,train
6215e,6215,LS,False,LS_non-native,train
6082h,6082,LS,False,LS_non-native,train
6001b,6001,LS,False,LS_non-native,train
6022b,6022,LS,False,LS_non-native,train
0234d,234,LS,False,LS_non-native,train
6110b,6110,LS,False,LS_non-native,train
6131g,6131,LS,False,LS_non-native,val
6081a,6081,LS,False,LS_non-native,train
6122j,6122,LS,False,LS_non-native,train
6193f,6193,LS,False,LS_non-native,train
6131p,6131,LS,False,LS_non-native,val
6052a,6052,LS,False,LS_non-native,test
3140d,3140,LS,False,LS_non-native,train
6034c,6034,LS,False,LS_non-native,train
6166a,6166,LS,False,LS_non-native,test
0103d,103,LS,False,LS_non-native,train
6034a,6034,LS,False,LS_non-native,train
0100c,100,LS,False,LS_non-native,train
0088b,88,LS,False,LS_non-native,val
6215d,6215,LS,False,LS_non-native,train
6017f,6017,LS,False,LS_non-native,train
0277c,277,LS,False,LS_non-native,train
6031e,6031,LS,False,LS_non-native,val
0088a,88,LS,False,LS_non-native,val
6168e,6168,LS,False,LS_non-native,train
6034b,6034,LS,False,LS_non-native,train
6113d,6113,LS,False,LS_non-native,train
6207a,6207,PS,True,PS_native,train
6165d,6165,PS,True,PS_native,val
0274a,274,PS,True,PS_native,train
6079b,6079,PS,True,PS_native,train
0027b,27,PS,True,PS_native,val
6207c,6207,PS,True,PS_native,train
0317b,317,PS,True,PS_native,val
0183b,183,PS,True,PS_native,val
3095b,3095,PS,True,PS_native,val
6090e,6090,PS,True,PS_native,train
0347c,347,PS,True,PS_native,test
6097h,6097,PS,True,PS_native,test
6194b,6194,PS,True,PS_native,train
0363c,363,PS,True,PS_native,test
0181a,181,PS,True,PS_native,train
0311i,311,PS,True,PS_native,test
6091d,6091,PS,True,PS_native,train
6123h,6123,PS,True,PS_native,train
0250d,250,PS,True,PS_native,train
0338b,338,PS,True,PS_native,train
6159d,6159,PS,True,PS_native,train
6094a,6094,PS,True,PS_native,train
0177a,177,PS,True,PS_native,val
0083a,83,PS,True,PS_native,train
6139a,6139,PS,True,PS_native,train
6056b,6056,PS,True,PS_native,train
6137c,6137,PS,True,PS_native,train
0201a,201,PS,True,PS_native,train
0388a,388,PS,True,PS_native,test
6108e,6108,PS,True,PS_native,val
3146a,3146,PS,True,PS_native,train
0074a,74,PS,True,PS_native,train
0363b,363,PS,True,PS_native,test
6104c,6104,PS,True,PS_native,train
6200c,6200,PS,True,PS_native,train
6123c,6123,PS,True,PS_native,train
0181b,181,PS,True,PS_native,train
0311b,311,PS,True,PS_native,test
0027c,27,PS,True,PS_native,val
0051c,51,PS,True,PS_native,train
3109b,3109,PS,True,PS_native,train
6100d,6100,PS,True,PS_native,train
6090h,6090,PS,True,PS_native,train
6208c,6208,PS,True,PS_native,train
0248a,248,PS,True,PS_native,train
6091c,6091,PS,True,PS_native,train
0406d,406,PS,True,PS_native,train
3109d,3109,PS,True,PS_native,train
0188h,188,PS,True,PS_native,train
6097b,6097,PS,True,PS_native,test
0363d,363,PS,True,PS_native,test
6100a,6100,PS,True,PS_native,train
6210b,6210,PS,True,PS_native,train
6100b,6100,PS,True,PS_native,train
0347g,347,PS,True,PS_native,test
0388e,388,PS,True,PS_native,test
0323b,323,PS,True,PS_native,train
0054a,54,PS,True,PS_native,train
6097i,6097,PS,True,PS_native,test
6207e,6207,PS,True,PS_native,train
6160c,6160,PS,True,PS_native,train
0051d,51,PS,True,PS_native,train
6163d,6163,PS,True,PS_native,train
6165a,6165,PS,True,PS_native,val
0027a,27,PS,True,PS_native,val
6101f,6101,PS,True,PS_native,train
0388b,388,PS,True,PS_native,test
0389e,389,PS,True,PS_native,train
0406a,406,PS,True,PS_native,train
6106e,6106,PS,True,PS_native,train
0109b,109,PS,True,PS_native,train
6108g,6108,PS,True,PS_native,val
6132d,6132,PS,True,PS_native,train
6161e,6161,PS,True,PS_native,train
0403b,403,PS,True,PS_native,train
0250e,250,PS,True,PS_native,train
0317a,317,PS,True,PS_native,val
6160b,6160,PS,True,PS_native,train
6161a,6161,PS,True,PS_native,train
0250b,250,PS,True,PS_native,train
3026a,3026,PS,False,PS_non-native,train
0353d,353,PS,False,PS_non-native,train
0356a,356,PS,False,PS_non-native,train
0356d,356,PS,False,PS_non-native,train
0362e,362,PS,False,PS_non-native,test
6107d,6107,PS,False,PS_non-native,val
0386b,386,PS,False,PS_non-native,train
3093a,3093,PS,False,PS_non-native,test
0223c,223,PS,False,PS_non-native,train
3094c,3094,PS,False,PS_non-native,train
0008b,8,PS,False,PS_non-native,test
3113a,3113,PS,False,PS_non-native,train
3072b,3072,PS,False,PS_non-native,train
0159d,159,PS,False,PS_non-native,val
0358f,358,PS,False,PS_non-native,test
6082m,6082,PS,False,PS_non-native,train
0343e,343,PS,False,PS_non-native,train
0362d,362,PS,False,PS_non-native,test
0284a,284,PS,False,PS_non-native,train
0159a,159,PS,False,PS_non-native,val
6103j,6103,PS,False,PS_non-native,train
3072a,3072,PS,False,PS_non-native,train
6082o,6082,PS,False,PS_non-native,train
6169c,6169,PS,False,PS_non-native,train
0359a,359,PS,False,PS_non-native,train
0234h,234,PS,False,PS_non-native,train
0227b,227,PS,False,PS_non-native,train
6175b,6175,PS,False,PS_non-native,train
0340b,340,PS,False,PS_non-native,val
3094f,3094,PS,False,PS_non-native,train
0223a,223,PS,False,PS_non-native,train
0258a,258,PS,False,PS_non-native,train
6175a,6175,PS,False,PS_non-native,train
0168a,168,PS,False,PS_non-native,test
0210a,210,PS,False,PS_non-native,train
0223b,223,PS,False,PS_non-native,train
0210d,210,PS,False,PS_non-native,train
0166b,166,PS,False,PS_non-native,test
3026c,3026,PS,False,PS_non-native,train
0049a,49,PS,False,PS_non-native,test
0227d,227,PS,False,PS_non-native,train
6175d,6175,PS,False,PS_non-native,train
0353e,353,PS,False,PS_non-native,train
3052a,3052,PS,False,PS_non-native,train
0204a,204,PS,False,PS_non-native,val
0254d,254,PS,False,PS_non-native,val
0159e,159,PS,False,PS_non-native,val
6169d,6169,PS,False,PS_non-native,train
6107a,6107,PS,False,PS_non-native,val
6170c,6170,PS,False,PS_non-native,train
6170e,6170,PS,False,PS_non-native,train
0362c,362,PS,False,PS_non-native,test
6102f,6102,PS,False,PS_non-native,train
0357a,357,PS,False,PS_non-native,train
0049b,49,PS,False,PS_non-native,test
0343b,343,PS,False,PS_non-native,train
6202a,6202,PS,False,PS_non-native,train
3039a,3039,PS,False,PS_non-native,val
0358g,358,PS,False,PS_non-native,test
0378b,378,PS,False,PS_non-native,train
6170a,6170,PS,False,PS_non-native,train
0362a,362,PS,False,PS_non-native,test
0049c,49,PS,False,PS_non-native,test
0396a,396,PS,False,PS_non-native,train
0356e,356,PS,False,PS_non-native,train
0353a,353,PS,False,PS_non-native,train
3026d,3026,PS,False,PS_non-native,train
0358b,358,PS,False,PS_non-native,test
6202b,6202,PS,False,PS_non-native,train
0234e,234,PS,False,PS_non-native,train
6175c,6175,PS,False,PS_non-native,train
6082n,6082,PS,False,PS_non-native,train
0254c,254,PS,False,PS_non-native,val
0340c,340,PS,False,PS_non-native,val
0254i,254,PS,False,PS_non-native,val
0227c,227,PS,False,PS_non-native,train
0210b,210,PS,False,PS_non-native,train
0343d,343,PS,False,PS_non-native,train
0343a,343,PS,False,PS_non-native,train
6082k,6082,PS,False,PS_non-native,train
3063b,3063,SS,True,SS_native,train
0302g,302,SS,True,SS_native,train
0289d,289,SS,True,SS_native,train
3055a,3055,SS,True,SS_native,train
0111a,111,SS,True,SS_native,train
0315e,315,SS,True,SS_native,train
0135g,135,SS,True,SS_native,train
0276a,276,SS,True,SS_native,train
3037a,3037,SS,True,SS_native,train
3060c,3060,SS,True,SS_native,val
0004a,4,SS,True,SS_native,val
0320f,320,SS,True,SS_native,train
3028a,3028,SS,True,SS_native,val
3006j,3006,SS,True,SS_native,train
3027a,3027,SS,True,SS_native,train
3029e,3029,SS,True,SS_native,train
0165a,165,SS,True,SS_native,val
0137d,137,SS,True,SS_native,test
0411b,411,SS,True,SS_native,train
0320j,320,SS,True,SS_native,train
0069d,69,SS,True,SS_native,train
0148a,148,SS,True,SS_native,train
0214b,214,SS,True,SS_native,train
3042c,3042,SS,True,SS_native,train
0309a,309,SS,True,SS_native,train
0255b,255,SS,True,SS_native,test
0209d,209,SS,True,SS_native,train
0122c,122,SS,True,SS_native,train
0073a,73,SS,True,SS_native,train
3028c,3028,SS,True,SS_native,val
3040b,3040,SS,True,SS_native,test
0244k,244,SS,True,SS_native,train
0272c,272,SS,True,SS_native,train
0272d,272,SS,True,SS_native,train
0401b,401,SS,True,SS_native,train
3101f,3101,SS,True,SS_native,test
0187b,187,SS,True,SS_native,val
3048a,3048,SS,True,SS_native,train
3001h,3001,SS,True,SS_native,train
3066c,3066,SS,True,SS_native,test
0200f,200,SS,True,SS_native,train
0423a,423,SS,True,SS_native,val
0275c,275,SS,True,SS_native,train
3075a,3075,SS,True,SS_native,test
0398c,398,SS,True,SS_native,train
3060d,3060,SS,True,SS_native,val
0172a,172,SS,True,SS_native,train
3006n,3006,SS,True,SS_native,train
0397b,397,SS,True,SS_native,train
0137i,137,SS,True,SS_native,test
3048b,3048,SS,True,SS_native,train
0411a,411,SS,True,SS_native,train
0320d,320,SS,True,SS_native,train
3041b,3041,SS,True,SS_native,train
3049b,3049,SS,True,SS_native,val
0244j,244,SS,True,SS_native,train
0300a,300,SS,True,SS_native,test
0140d,140,SS,True,SS_native,train
0355a,355,SS,True,SS_native,test
0314a,314,SS,True,SS_native,test
3126b,3126,SS,True,SS_native,train
0010e,10,SS,True,SS_native,test
0417e,417,SS,True,SS_native,val
0053b,53,SS,True,SS_native,train
0143a,143,SS,True,SS_native,train
3082a,3082,SS,True,SS_native,train
0312j,312,SS,True,SS_native,train
0069b,69,SS,True,SS_native,train
0422c,422,SS,True,SS_native,train
0312g,312,SS,True,SS_native,train
0169f,169,SS,True,SS_native,train
3101g,3101,SS,True,SS_native,test
0064b,64,SS,True,SS_native,train
3016a,3016,SS,True,SS_native,train
3049c,3049,SS,True,SS_native,val
0290b,290,SS,True,SS_native,train
0135b,135,SS,True,SS_native,train
0086c,86,SS,True,SS_native,train
0315a,315,SS,True,SS_native,train
3060b,3060,SS,True,SS_native,val
0196a,196,SS,False,SS_non-native,train
3043a,3043,SS,False,SS_non-native,test
0427a,427,SS,False,SS_non-native,val
3013b,3013,SS,False,SS_non-native,train
0409e,409,SS,False,SS_non-native,train
0147b,147,SS,False,SS_non-native,train
0376a,376,SS,False,SS_non-native,train
0155c,155,SS,False,SS_non-native,train
3045e,3045,SS,False,SS_non-native,train
0312c,312,SS,False,SS_non-native,train
0138b,138,SS,False,SS_non-native,train
0120b,120,SS,False,SS_non-native,train
0226a,226,SS,False,SS_non-native,val
0360b,360,SS,False,SS_non-native,val
3044d,3044,SS,False,SS_non-native,val
0258b,258,SS,False,SS_non-native,train
0092c,92,SS,False,SS_non-native,train
0237d,237,SS,False,SS_non-native,train
0219e,219,SS,False,SS_non-native,train
3050b,3050,SS,False,SS_non-native,train
0293a,293,SS,False,SS_non-native,test
0079d,79,SS,False,SS_non-native,test
0226c,226,SS,False,SS_non-native,val
3081a,3081,SS,False,SS_non-native,train
0253b,253,SS,False,SS_non-native,train
0152c,152,SS,False,SS_non-native,train
0237a,237,SS,False,SS_non-native,train
0284d,284,SS,False,SS_non-native,train
0208e,208,SS,False,SS_non-native,train
0377c,377,SS,False,SS_non-native,val
0153e,153,SS,False,SS_non-native,train
0066b,66,SS,False,SS_non-native,train
0070c,70,SS,False,SS_non-native,val
0124d,124,SS,False,SS_non-native,val
3081b,3081,SS,False,SS_non-native,train
3018b,3018,SS,False,SS_non-native,train
3085a,3085,SS,False,SS_non-native,test
0428a,428,SS,False,SS_non-native,train
3044a,3044,SS,False,SS_non-native,val
0350d,350,SS,False,SS_non-native,val
0153a,153,SS,False,SS_non-native,train
0387b,387,SS,False,SS_non-native,train
0404a,404,SS,False,SS_non-native,train
0079a,79,SS,False,SS_non-native,test
3045c,3045,SS,False,SS_non-native,train
0370c,370,SS,False,SS_non-native,train
0402c,402,SS,False,SS_non-native,train
0281a,281,SS,False,SS_non-native,train
0291b,291,SS,False,SS_non-native,train
0410e,410,SS,False,SS_non-native,train
0377a,377,SS,False,SS_non-native,val
0155a,155,SS,False,SS_non-native,train
0410c,410,SS,False,SS_non-native,train
0195c,195,SS,False,SS_non-native,train
0430a,430,SS,False,SS_non-native,train
0208b,208,SS,False,SS_non-native,train
0219d,219,SS,False,SS_non-native,train
0208f,208,SS,False,SS_non-native,train
3073a,3073,SS,False,SS_non-native,train
0293b,293,SS,False,SS_non-native,test
3086a,3086,SS,False,SS_non-native,train
0081d,81,SS,False,SS_non-native,test
0072a,72,SS,False,SS_non-native,test
0079c,79,SS,False,SS_non-native,test
3017b,3017,SS,False,SS_non-native,train
0133a,133,SS,False,SS_non-native,train
0003g,3,SS,False,SS_non-native,test
0003h,3,SS,False,SS_non-native,test
0409d,409,SS,False,SS_non-native,train
0077e,77,SS,False,SS_non-native,test
3018a,3018,SS,False,SS_non-native,train
0257e,257,SS,False,SS_non-native,train
0360e,360,SS,False,SS_non-native,val
0409c,409,SS,False,SS_non-native,train
0195e,195,SS,False,SS_non-native,train
0099d,99,SS,False,SS_non-native,train
3021b,3021,SS,False,SS_non-native,train
0316c,316,SS,False,SS_non-native,train
0287b,287,SS,False,SS_non-native,train
3047c,3047,SS,False,SS_non-native,train
